Key,en,zh-TW,zh-CN,ms,pt,ja,es,ar,bn,hi,id,ko,my,th,vi,tl,fr,sw
account_flow_type.free_round,Free Spin Bet,免費旋轉下注,免费旋转下注,Taruhan Putaran Percuma,Aposta de giros grátis,無料スピンベット,Apuesta de giros gratis,رهان التدوير المجاني,বিনামূল্যে স্পিন বাজি,फ्री स्पिन बेट,Taruhan Putaran Gratis,프리스핀 베팅,အခမဲ့ပွဲ,เดิมพันฟรีสปิน,Cược quay miễn phí,Libreng Taya sa Paikot,Pari sur les tours gratuits,Dau la Mzunguko Bila Malipo
account_flow_type.interest_bonus,Interest Bonus,利息寶利息,利息寶利息,Bonus Faedah,Bônus de juros,利息ボーナス,Bono de intereses,مكافأة الفائدة,সুদ বোনাস,ब्याज बोनस,Bonus bunga,이자 보너스,အတိုးဘောနပ်စ်,เงินโบนัสดอกเบี้ย,Tiền thưởng lãi suất,Bonus ng interes,Bonus d'intérêts,Bonasi ya Riba
account_flow_type.interest_deduction,Interest Deduction,利息寶扣款,利息寶扣款,Potongan Faedah,Dedução de juros,利息の権利,Deducción de intereses,خصم الفائدة,সুদ কর্তন,ब्याज कटौती,Pemotongan bunga,이자 공제,အတိုးနုတ်ယူခြင်း,ดอกเบี้ยหัก,Khấu trừ lãi suất,Pagbawas ng interes,Déduction d'intérêts,Punguzo la Riba
account_flow_type.interest_principal,Interest Principal,利息寶本金,利息寶本金,Prinsipal Faedah,Capital de juros,利息の本,Capital de intereses,رأس المال للفائدة,সুদ মূলধন,ब्याज मूलधन,Pokok bunga,이자 원금,အတိုးအရင်း,เงินต้นดอกเบี้ย,Vốn lãi suất,Punong interes,Intérêts Capital,Mkuu wa Maslahi
account_flow_type.profit_sharing_commission,Profit-sharing commission,合盈股東返佣,合盈股东返佣,Komisen Perkongsian Keuntungan,Reembolso de divisão de lucros aos acionistas,株主への利益還元リベート,Hipoteca de reparto de beneficios a accionistas,عمولة تقاسم الأرباح,লাভ ভাগ করে শেয়ারহোল্ডারদের রিবেট,लाभ साझेदारी कमीशन,Rebat bagi Pemegang Saham,수익 분배 커미션,အမြတ်ခွဲဝေရေးကော်မရှင်,ส่วนลดคืนให้ผู้ถือหุ้น,Hoàn tiền chia lợi nhuận cho cổ đông,Profit-sharing commission,Commission de participation aux bénéfices,Tume ya kugawana faida
account_flow_type.promoton_bonus,Promotions,优惠活动,优惠活动,Promosi,Promoções,プロモーション,Promociones,العروض الترويجية,প্রমোশন,प्रचार बोनस,Promosi,프로모션,ဈေးရောင်း,โปรโมชั่น,Khuyến mãi,Mga Promotion,Promotions,Matangazo
account_flow_type.rebate,Rebate,返水,返水,Rebat,Desconto,キャッシュバック,Reembolso,استرداد نقدي,রিবেট,छूट,Rebate,리베이트,ပြန်အမ်းငွေ,ส่วนลด,Hạ giá,Rebate,Rabais,Punguzo
account_flow_type.referral_rebate,Referral Commission,上級返佣,上级返佣,Komisen Atasan,Comissão de Indicação,紹介手数料,Comisión por Referidos,عمولة الإحالة,রেফারেল কমিশন,रेफरल छूट,Komisi Rujukan,상위 추천 커미션,ရည်ညွှန်းကော်မရှင်,ค่าคอมมิชชั่นแนะนำ,Hoa hồng giới thiệu,Referral Commission,Commission de référence,Tume ya Rufaa
account_flow_type.referral_signup_bonus,Referral Sign-up Bonus,推薦註冊禮金,推荐註册礼金,Bonus Pendaftaran Rujukan,Bônus de inscrição por indicação,紹介登録ボーナス,Bono por registro de referido,مكافأة التسجيل عن طريق الإحالة,রেফারেল সাইন-আপ বোনাস,रेफरल साइन-अप बोनस,Bonus Pendaftaran Referensi,추천 가입 보너스,ရည်ညွှန်းချက်စာရင်းသွင်းခြင်းဘောနပ်စ်,โบนัสสมัครสมาชิกผ่านการแนะนำ,Tiền thưởng khi giới thiệu người khác,Bonus sa Pag-sign-up ng Referral,Bonus d'inscription par parrainage,Bonasi ya Kujisajili kwa Rufaa
account_flow_type.vip_bonus,VIP Bonus,VIP獎勵,VIP奖励,Pemberian VIP,Bônus VIP,VIP特典,Bono VIP,مكافأة VIP,VIP বোনাস,वीआईपी बोनस,Bonus VIP,VIP 보너스,VIP အပိုဆု,รางวัล VIP,Phần thưởng VIP,Bonus ng VIP,Bonus VIP,Bonasi ya VIP
account_flow_type.withdrawal,WIthdrawal,出款,出款,Pengeluaran,Retirada,出金,Retirada,سحب,উত্তোলন,निकासी,Penarikan,출금,ငွေထုတ်ခြင်း။,การถอนเงิน,Rút tiền,WIthdrawal,Retrait,WIthdrawal
account_flow_type.withdrawal_rejected,Withdrawal canceled,出款取消,出款取消,Pengeluaran Terbatal,Retirada cancelada,出金キャンセル,Retirada cancelada,تم إلغاء السحب,উত্তোলন বাতিল,निकासी अस्वीकृत,Penarikan dibatalkan,출금 취소,ငွေထုတ်ရန် ငြင်းဆိုထားသည်။,ยกเลิกการถอนเงินแล้ว,Rút tiền bị hủy,Nakansela ang Withdrawal,Retrait annulé,Utoaji pesa umeghairiwa
account_management.account_flow_report,Player Balance Record,帳變明細,帐变明细,Rincian Perubahan Akaun,Relatório de Fluxo da Conta,取引明細,Informes de flujo de cuenta,سجل رصيد الأعضاء,সদস্য ব্যালেন্স রেকর্ড,खाता प्रवाह रिपोर्ट,Laporan Arus Akun,계정 변동 내역,မန်ဘာလက်ကျန်မှတ်တမ်း,รายงานกระแสบัญชี,Báo cáo luồng tài khoản,Record ng Member Balance,Bilan du joueur,Rekodi ya Mizani ya Mchezaji
account_management.account_management,Backoffice management,帳號管理,帐号管理,Pengurusan Akaun,Gerenciamento de Contas,帳票番号管理,Administración de cuentas,إدارة الحساب,অ্যাকাউন্ট ব্যবস্থাপনা,खाता प्रबंधन,Manajemen Akun,계정 관리,အကောင့်စီမံခန့်ခွဲမှု,การจัดการบัญชี,Quản lý tài khoản,Management ng Account,Gestion de compte,Usimamizi wa Akaunti
account_management.action_log,User Action Log,操作記錄,操作记录,Log Tindakan Pengguna,Registro de Ações do Usuário,動作記録,Registro de acciones del usuario,سجل إجراءات المستخدم,ব্যবহারকারীর কার্যকলাপ লগ,क्रिया लॉग,Log Tindakan Pengguna,사용자 활동 기록,အသုံးပြုသူလုပ်ဆောင်ချက်မှတ်တမ်း,บันทึกการดำเนินการของผู้ใช้,Nhật ký hành động của người dùng,Action Log ng User,Journal des actions de l'utilisateur,Kumbukumbu ya Vitendo vya Mtumiaji
account_management.agent_account_management,Agent Account,代理帳號管理,代理帐号管理,Pengurusan Akaun Agen,Conta do Agente,代理アカウント管理,Cuenta de agente,حساب الوكيل,এজেন্ট অ্যাকাউন্ট,एजेंट खाता प्रबंधन,Akun Agen,제휴사 계정 관리,အေးဂျင့်အကောင့်,บัญชีตัวแทน,Tài khoản đại lý,Account ng Ahente,Compte agent,Akaunti ya Wakala
account_management.agent_bet_report,Agent Bet Report,代理投注報表,代理投注报表,Laporan Pertaruhan Agen,Relatório de Apostas do Agente,代理人反省レポート,Informes de apuestas del agente,تقرير رهانات الوكيل,এজেন্টের বাজির প্রতিবেদন,एजेंट शर्त रिपोर्ट,Laporan Taruhan Agen,제휴사 베팅 리포트,အေးဂျင့်လောင်းကြေးအစီရင်ခံစာ,รายงานการเดิมพันตัวแทน,Báo cáo đặt cược đại lý,Report ng Agent Bet,Rapport de paris des agents,Ripoti ya Dau la Wakala
account_management.agent_management,Agency Management,代理管理,代理管理,AgenPengurusan,Gerenciamento da Agência,代理管理,Administración de agencias,إدارة الوكلاء,এজেন্সি ব্যবস্থাপনা,एजेंट प्रबंधन,Manajemen Agensi,제휴회사 관리,အေဂျင်စီစီမံခန့်ခွဲမှု,การจัดการหน่วยงาน,Quản lý đại lý,Management ng Agency,Gestion d'agence,Usimamizi wa Wakala
account_management.annoucement_management,Announcement Management,公告管理,公告管理,Pengurusan Pemberitahuan,Gerenciamento de Anúncios,公告管理,Administración de anuncios,إدارة الإعلانات,ঘোষণা ব্যবস্থাপনা,घोषणा प्रबंधन,Manajemen Pengumuman,공지 관리,ကြေငြာချက်စီမံခန့်ခွဲမှု,การจัดการประกาศ,Quản lý thông báo,Announcement Management,Gestion des annonces,Usimamizi wa Matangazo
account_management.bet_record_inquiry,Bet Record,投注記錄查詢,投注记录查询,Semakan Rekod Taruhan,Pedido do Registro de Apostas,振り返り記録検索,Consulta de registro de apuestas,سجل الرهانات,বাজির রেকর্ড,शर्त रिकॉर्ड जांच,Penelusuran Rekaman Taruhan,베팅 기록 조회,လောင်းကြေးမှတ်တမ်း,สอบถามบันทึกการเดิมพัน,Yêu cầu hồ sơ cá cược,Record ng Bet,Record de paris,Rekodi ya Dau
account_management.bet_report,Bet Report,投注報表,投注报表,Laporan Pertaruhan,Relatório de Apostas,振り返りレポート,Informes de apuestas,تقرير الرهانات,বাজির প্রতিবেদন,शर्त रिपोर्ट,Laporan Taruhan,베팅 리포트,လောင်းကြေးအစီရင်ခံစာ,รายงานการเดิมพัน,Báo cáo cá cược,Report ng Bet,Rapport de paris,Ripoti ya Dau
account_management.cash_report,Deposit/withdrawal report,現金報表,现金报表,Laporan Tunai,Relatório de Caixa,現金レポート,Informes de efectivo,تقرير النقد,নগদ প্রতিবেদন,नकद रिपोर्ट,Laporan Kas,현금 리포트,ငွေသားအစီရင်ခံစာ,รายงานเงินสด,Báo cáo tiền mặt,Report ng Cash,Rapport de dépôt/retrait,Ripoti ya amana/utoaji
account_management.day_report,Day Report,每日報表,每日报表,Laporan Harian,Relatório do Dia,毎日レポート,Informes diarios,تقرير يومي,দৈনিক প্রতিবেদন,दिन रिपोर्ट,Laporan Harian,일간 리포트,နေ့အစီရင်ခံစာ,รายงานประจำวัน,Báo cáo ngày,Report ng Araw,Rapport du jour,Ripoti ya Siku
account_management.deposit_record_inquiry,Deposit Record Inquiry,存款記錄查詢,存款记录查询,Semakan Rekod Deposit,Pedido do Registro de Depósitos,入金履歴検索,Consulta de registro de depósitos,استعلام سجل الإيداع,জমার রেকর্ড অনুসন্ধান,जमा रिकॉर्ड जांच,Penelusuran Rekaman Deposit,입금 기록 조회,သွင်းငွေ မှတ်တမ်းစုံစမ်းရေး,สอบถามบันทึกการฝากเงิน,Truy vấn hồ sơ tiền gửi,Inquiry ng Deposit Record,Consultation des relevés de dépôt,Uchunguzi wa Rekodi ya Amana
account_management.file_download,Document Download,文檔下載,文档下载,Muat Turun Dokumen,Baixar o Documento,文書ダウンロード,Descarga de documentos,تحميل المستندات,ডকুমেন্ট ডাউনলোড,फ़ाइल डाउनलोड,Unduh Dokumen,문서 다운로드,ဖိုင်ဒေါင်းလုဒ်လုပ်ပါ။,ดาวน์โหลดเอกสาร,Tải xuống tài liệu,Document Download,Téléchargement de documents,Upakuaji wa Hati
account_management.file_management,File Management,文件管理,文件管理,Pengurusan Fail,Gerenciamento de Ficheiros,文書管理,Administración de archivos,إدارة الملفات,ফাইল ব্যবস্থাপনা,फ़ाइल प्रबंधन,Manajemen Berkas,파일 관리,ဖိုင်စီမံခန့်ခွဲမှု,การจัดการไฟล์,Quản lý tập tin,File Management,Gestion des fichiers,Usimamizi wa Faili
account_management.latest_annoucement,Newest Announcement,最新公告,最新公告,Pemberitahuan Terbaru,Anúncio mais recente,最新の公表,Anuncio más reciente,أحدث الإعلانات,সর্বশেষ ঘোষণা,नवीनतम घोषणा,Pengumuman Terbaru,최신 공지,နောက်ဆုံးကြေငြာချက်,ประกาศใหม่ล่าสุด,Thông báo mới nhất,Pinakabagong Anunsyo,Dernière annonce,Tangazo Jipya Zaidi
account_management.master_agent_bet_report,Master Agent Bet Report,總代投注報表,总代投注报表,Laporan Pertaruhan Agen Utama,Relatório de Apostas do Agente Mestre,総代考察レポート,Informes de apuestas del agente principal,تقرير رهانات الوكيل العام,মাস্টার এজেন্টের বাজির প্রতিবেদন,मास्टर एजेंट शर्त रिपोर्ट,Laporan Taruhan Agen Utama,총판 베팅 리포트,မာစတာအေးဂျင့်လောင်းကြေးအစီရင်ခံစာ,รายงานการเดิมพันตัวแทนหลัก,Báo cáo cá cược đại lý chính,Report ng Master Agent Bet,Rapport de paris de l'agent principal,Ripoti ya Dau ya Wakala Mkuu
account_management.master_agent_management,Backoffice Account,後台賬號,后台账号,Akaun Bahagian Belakang,Conta de Backoffice,バックエンドアカウント,Cuenta de backoffice,حساب الإدارة الخلفية,ব্যাকঅফিস অ্যাকাউন্ট,मास्टर एजेंट प्रबंधन,Akun Backoffice,관리자 계정,အရန်ရုံး အကောင့်,บัญชีแบ็คออฟฟิศ,Tài khoản văn phòng hỗ trợ,Account ng Backoffice,Compte backoffice,Akaunti ya Ofisi ya Nyuma
account_management.member_credit_limit_tiers,Player credit limit tiers,會員信用額度層級,会员信用额度层级,Had Kuota berdasarkan Pangkat Keahlian,Níveis de limite de crédito de membros,会員のクレジット限度額レベル,Límites de crédito de miembro,فئات حد الائتمان للعضو,স্তরের সেটিং,सदस्य क्रेडिट सीमा स्तर,Tingkatan Batas Kredit Anggota,회원 신용 한도 등급,အဖွဲ့ဝင်ခရက်ဒစ်ကန့်သတ်အဆင့်များ,ระดับวงเงินเครดิตของสมาชิก,Cấp giới hạn tín dụng thành viên,Mga credit limit tier ng Miyembro,Niveaux de limite de crédit du joueur,Viwango vya kikomo cha mkopo wa wachezaji
account_management.member_level,Player level,會員層級,会员层级,Pangkat Keahlian,Nível de Membros,会員層級,Nivel de miembro,مستوى العضو,সদস্য স্তর,सदस्य स्तर,Tingkat Anggota,회원 등급,မန်ဘာအဆင့်,ระดับสมาชิก,Cấp độ thành viên,Level ng Miyembro,Niveau du joueur,Kiwango cha mchezaji
account_management.member_level_history,Modify history,異動紀錄,异动纪录,Ubah Rekod,Modificar o histórico,変更履歴,Historial de modificaciones,سجل التعديلات,পুরস্কারের তালিকা,सदस्य स्तर इतिहास,Riwayat Perubahan,변경 기록,မှတ်တမ်းကို ပြုပြင်ပါ။,ปรับเปลี่ยนประวัติ,Sửa đổi lịch sử,Modify history,Modifier l'historique,Rekebisha historia
account_management.member_level_modify,Level modify,層級異動,层级异动,Ubah Pangkat,Modificar o nível,層級変更,Modificación de nivel,تعديل المستوى,সংশোধনের ইতিহাস,सदस्य स्तर संशोधन,Ubah Level,등급 변경,အဆင့်မွမ်းမံပါ။,ปรับเปลี่ยนระดับ,Sửa đổi cấp độ,Level modify,Niveau modifier,Marekebisho ya kiwango
account_management.member_level_settings,Level settings,層級設定,层级设定,Tetapan Pangkat,Configurações de Níveis,層級設定,Configuración de nivel,إعدادات المستوى,স্তর সংশোধন,सदस्य स्तर सेटिंग्स,Pengaturan Level,등급 설정,အဆင့်သတ်မှတ်ချက်,การตั้งค่าระดับ,Cài đặt cấp độ,Mga Setting ng Level,Réglages de niveau,Mipangilio ya kiwango
account_management.member_list,Player list,會員列表,会员列表,Senarai Ahli,Lista de Membros,会員リスト,Lista de miembros,قائمة الأعضاء,সদস্য তালিকা,सदस्य सूची,Daftar Anggota,회원 목록,မန်ဘာစာရင်း,รายชื่อสมาชิก,Danh sách thành viên,Listahan ng Miyembro,Liste des joueurs,Orodha ya wachezaji
account_management.member_management,Player management,會員管理,会员管理,Pengurusan Ahli,Gerenciamento de Membros,会員管理,Administración de miembros,إدارة الأعضاء,সদস্য ব্যবস্থাপনা,सदस्य प्रबंधन,Manajemen Anggota,회원 관리,မန်ဘာစီမံခန့်ခွဲမှု,การจัดการสมาชิก,Quản lý thành viên,Managementng Miyembro,Gestion des joueurs,Usimamizi wa wachezaji
account_management.member_quota,Player quota,會員額度調整,会员额度调整,Menyelaras Kuota Ahli,Quota de Membros,会員クレジット調整,Cuota de miembro,حصة العضو,সদস্য কোটা,सदस्य कोटा,Kuota Anggota,회원 한도 조정,မန်ဘာခွဲတမ်း,โควต้าสมาชิก,Hạn ngạch thành viên,Quota ng Miyembro,Quota de joueurs,Mgawo wa mchezaji
account_management.member_tag_management,Player tags,會員標籤管理,会员标签管理,Pengurusan Label Keahlian,Etiquetas de Membros,会員タグ管理,Etiquetas de miembro,وسوم العضو,সদস্য ট্যাগ,सदस्य टैग प्रबंधन,Tag Anggota,회원 태그 관리,မန်ဘာtagsများ,แท็กสมาชิก,Thẻ thành viên,Mga Tag ng Miyembro,Étiquettes du joueur,Lebo za mchezaji
account_management.permission_management,Permission Setting,權限設定,权限设定,KeizinanTetapan,Configuração de Permissões,権限設定,Configuración de permisos,إعدادات الصلاحيات,অনুমতির সেটিং,अनुमति प्रबंधन,Pengaturan Izin,권한 설정,ခွင့်ပြုချက် ဆက်တင်,การตั้งค่าการอนุญาต,Cài đặt quyền,Setting ng Permission,Paramétrage des autorisations,Mipangilio ya Ruhusa
account_management.product_bet_report,Product Bet Report,產品投注報表,产品投注报表,Laporan Taruhan Produk,Relatório dos Produtos de Apostas,製品レビューレポート,Informes de apuestas de producto,تقرير رهانات المنتج,পণ্যের বাজির প্রতিবেদন,उत्पाद शर्त रिपोर्ट,Laporan Taruhan Produk,제품별 베팅 리포트,ထုတ်ကုန်လောင်းကြေးအစီရင်ခံစာ,รายงานการเดิมพันผลิตภัณฑ์,Báo cáo đặt cược sản phẩm,Report ng Product Bet,Rapport sur les paris sur les produits,Ripoti ya Dau la Bidhaa
account_management.referral_signup_bonus,Referral Signup Bonus,推薦註冊禮金,推荐註册礼金,Bonus Pendaftaran Rujukan,Bônus de inscrição por indicação,紹介登録ボーナス,Bono por registro de referido,مكافأة التسجيل عن طريق الإحالة,রেফারেল সাইনআপ বোনাস,रेफरल साइनअप बोनस,Bonus Pendaftaran Referensi,추천 가입 보너스,ရည်ညွှန်းချက်စာရင်းသွင်းခြင်းဆုကြေးငွေ,โบนัสการสมัครผ่านการแนะนำ,Tiền thưởng khi giới thiệu người khác,Bonus sa Pag-signup sa Referral,Bonus d'inscription par parrainage,Bonasi ya Kujisajili kwa Rufaa
account_management.send_rewards_list,Rewards list,派發清單,派发清单,Senarai Agihan,Lista de Recompensas,派発リスト,Lista de recompensas,قائمة المكافآت,বাজির রেকর্ড,पुरस्कार भेजने की सूची,Daftar Hadiah,보상 지급 목록,ဆုစာရင်း,รายการรางวัล,Danh sách phần thưởng,Listahan ng Reward,Liste des récompenses,Orodha ya zawadi
account_management.statistic_report,Report,統計報表,统计报表,Laporan Statistik,Relatório,統計レポート,Informes,التقارير,প্রতিবেদন,सांख्यिकीय रिपोर्ट,Laporan,통계 리포트,အစီရင်ခံစာ,รายงาน,Báo cáo,Report,Rapport,Ripoti
account_management.user_report,Registration report,用戶報表,用户报表,Laporan Pengguna,Relatório do Usuário,ユーザーレポート,Informes de usuario,تقرير المستخدم,ব্যবহারকারীর প্রতিবেদন,उपयोगकर्ता रिपोर्ट,Laporan Pengguna,사용자 리포트,အသုံးပြုသူအစီရင်ခံစာ,รายงานผู้ใช้,Báo cáo người dùng,Report ng User,Rapport d'enregistrement,Ripoti ya usajili
account_management.withdrawal_record_inquiry,WIthdrawal Record Inquiry,出款記錄查詢,出款记录查询,Semakan Rekod Pengeluaran,Pedido do Registro de Retiradas,出金履歴検索,Consulta de registro de retiradas,استعلام سجل السحب,উত্তোলনের রেকর্ড অনুসন্ধান,निकासी रिकॉर्ड जांच,Penelusuran Rekaman Penarikan,출금 기록 조회,ထုတ်ငွေ မှတ်တမ်းစုံစမ်းရေး,การสอบถามบันทึกการถอนเงิน,Yêu cầu hồ sơ rút tiền,Inquiry ng WIthdrawal Record,Consultation des dossiers de retrait,Uchunguzi wa Rekodi ya WIthdrawal
action_type.adjusment_deposit,Manual Deposit,人工存款,人工存款,Deposit secara Manual,Depósito manual,手動入金,Depósito manual,إيداع يدوي,ম্যানুয়াল জমা,जमा समायोजन,Deposit Manual,수동 입금,ကိုယ်တိုင်ငွေသွင်း,การฝากเงินด้วยตนเอง,Gửi tiền thủ công,Manual na Deposito,Dépôt manuel,Amana ya Mwongozo
action_type.adjusment_withdrawal,Manual Withdrawal,人工扣款,人工扣款,Pengeluaran secara Manual,Retirada manual,手動引き落とし,Retirada manual,سحب يدوي,ম্যানুয়াল উত্তোলন,निकासी समायोजन,Penarikan Manual,수동 출금,ကိုယ်တိုင်ငွေထုတ်,การถอนด้วยตนเอง,Rút tiền thủ công,Manual na Withdrawal,Retrait manuel,Kutoa Pesa kwa Mkono
action_type.betting_records,Betting Report,投注紀錄,投注纪录,Rekod Pertaruhan,Registros de Apostas,ベット記録,Registros de Apuestas,سجلات الرهانات,বাজির রেকর্ড,सट्टा रिकॉर्ड,Catatan Taruhan,베팅 기록,လောင်းကစားမှတ်တမ်းများ,ประวัติการเดิมพัน,Lịch sử cược,Mga Record ng Pagtataya,Records de paris,Rekodi za Kuweka Dau
action_type.deposit,Deposit,存款,存款,Deposit,depositar,入金,Depósito,إيداع,জমা,जमा,deposit,입금,ငွေသွင်းမည်။,เงินฝาก,tiền gửi,deposito,Dépôt,Amana
action_type.transfer,Game Trading,遊戲交易,游戏交易,Transaksi Permainan,Comércio de Jogos,ゲームイベント,Negocio de juegos,معاملات الألعاب,গেম লেনদেন,स्थानांतरण,Perdagangan Game,게임 거래,ဂိမ်းရောင်းဝယ်ရေး,การซื้อขายเกม,Giao dịch trò chơi,Trading ng Laro,Commerce de gibier,Biashara ya Mchezo
action_type.withdrawal,withdrawal,出款,出款,Pengeluaran secara Auto,sacar,出金,Retirada,سحب,উত্তোলন,निकासी,penarikan,출금,ငွေထုတ်ခြင်း။,การถอนตัว,rút tiền,withdrawal,retrait,kujiondoa
action_type.withdrawal_rejected,Withdrawal Refused,出款拒絕,出款拒绝,Pengeluaran secara Automenolak,Retirada rejeitada,出金拒否,Retirada rechazada,تم رفض السحب,উত্তোলন প্রত্যাখ্যান করা হয়েছে,निकासी अस्वीकृत,Penarikan Ditolak,출금 거절됨,ငွေထုတ်ရန် ငြင်းဆိုထားသည်။,การถอนเงินถูกปฏิเสธ,Rút tiền bị từ chối,Tinanggihang Withdrawal,Retrait refusé,Kutoa Kumekataliwa
adjust_audit_balance,Adjust audit balance,調整稽核餘額,调整审计余额,Laraskan baki audit,Ajustar saldo de auditoria,監査残高を調整する,Ajustar el saldo de auditoría,تعديل رصيد التدقيق,নিরীক্ষা ব্যালেন্স সমন্বয় করুন,लेखापरीक्षा शेष समायोजित करें,Sesuaikan saldo audit,감사 잔액 조정,စာရင်းစစ်ချိန်ခွင်လျှာကို ချိန်ညှိပါ,ปรับยอดคงเหลือการตรวจสอบ,Điều chỉnh số dư kiểm toán,Ayusin ang balanse ng pag-audit,Ajuster le solde d'audit,Rekebisha salio la ukaguzi
adjust_next_amount,Adjusted quota,調整後額度,调整后的配额,Kuota yang diselaraskan,Cota ajustada,調整済み割当,Cuota ajustada,الحصة المعدلة,সমন্বয়কৃত কোটা,समायोजित कोटा,Kuota yang disesuaikan,조정된 할당량,ချိန်ညှိထားသော ပမာဏ,โควต้าที่ปรับแล้ว,Hạn ngạch điều chỉnh,Inayos na quota,quota ajusté,Mgawo uliorekebishwa
adjust_pre_amount,Previous quota,調整前額度,调整先前的金额,Laraskan jumlah sebelumnya,Ajuste o valor anterior,前回の金額を調整します,Ajustar la cantidad anterior,قم بتعديل المبلغ السابق,পূর্ববর্তী পরিমাণ সমন্বয় করুন,पिछली राशि को समायोजित करें,Sesuaikan jumlah sebelumnya,이전 금액을 조정하세요,ယခင်ပမာဏကို ချိန်ညှိပါ,ปรับจำนวนเงินก่อนหน้า,Điều chỉnh số tiền trước đó,Ayusin ang nakaraang halaga,Ajuster le montant précédent,Rekebisha kiasi kilichopita
