Key,en,zh-TW,zh-CN,ms,pt,ja,es,ar,bn,hi,id,ko,my,th,vi,tl,fr,sw
ai.auto_bet_setting,Auto Bet Settings,自動投注設定,自动投注设定,Tetapan Pertaruhan Automatik,Configurações de aposta automática,自動ベット設定,Configuración de apuestas automáticas,إعدادات الرهان التلقائي,স্বয়ংক্রিয় বাজি সেটিংস,ऑटो बेत सेटिंग्स,Pengaturan Taruhan Otomatis,자동 베팅 설정,အလိုအလျောက်လောင်းကစား ဆက်တင်များ,การตั้งค่าเดิมพันอัตโนมัติ,Cài đặt cược tự động,Mga Setting ng Awtomatikong Taya,Paramètres de pari automatique,Mipangilio ya Dau Kiotomatiki
ai.banker,Banker,莊,庄,Jurubank,Banqueiro,バンカー,Banquero,المصرفي,ব্যাংকার,बैंकर,Bankir,뱅커,ဒိုင်,เจ้ามือ,Nhà cái,Bangkero,Banquier,Benki
ai.banker_pair,Banker Pair,莊對,庄对,Pasangan Jurubank,Dupla de Banqueiros,バンカーペア,Par de banqueros,زوج المصرفي,ব্যাংকার জুটি,बैंकर जोड़ी,Pasangan Bankir,뱅커 페어,ဒိုင်တွဲ,คู่เจ้ามือ,Đôi nhà cái,Pares ng Bangkero,Paire de banquiers,Jozi ya Benki
ai.betting,Betting in Progress,下注中,下注中,Pertaruhan Sedang Berlangsung,Apostas em andamento,ベット中,Apuestas en curso,الرهان جاري,বাজি চলছে,दांव प्रगति में है,Taruhan Sedang Berlangsung,베팅 중,လောင်းကစား တိုးတက်မှု,กำลังเดิมพัน,Đang đặt cược,Pagtaya na Isinasagawa,Paris en cours,Kuweka Dau Kunaendelea
ai.betting_disk,Betting Interface,投注盤面,投注盘面,Antara Muka Pertaruhan,Interface de apostas,ベットエリア,Interfaz de apuestas,واجهة الرهان,বেটিং ইন্টারফেস,दांव इंटरफ़ेस,Antarmuka Taruhan,베팅 인터페이스,လောင်းကစားမျက်နှာပြင်,อินเทอร์เฟซการเดิมพัน,Giao diện cược,Interface ng Pagtaya,Interface de paris,Kiolesura cha Kuweka Dau
ai.betting_items,Betting Options,投注項目,投注项目,Pilihan Pertaruhan,Opções de apostas,ベットオプション,Opciones de apuestas,خيارات الرهان,বাজি ধরার বিকল্প,दांव विकल्प,Opsi Taruhan,베팅 옵션,လောင်းကစားရွေးချယ်မှုများ,ตัวเลือกการเดิมพัน,Tùy chọn cược,Mga Opsyon sa Pagtaya,Options de paris,Chaguzi za Kuweka Dau
ai.between,Between,介於,介于,Antara,Entre,の間,Entre,بين,মধ্যে,के बीच,Di antara,사이,အကြား,ระหว่าง,Trong khoảng,Sa pagitan,Entre,Kati ya
ai.bonus,Bonus,獎金,獎金,Bonus,Bônus,ボーナス,Prima,المكافأة,বোনাস,बोनस,Bonus,보너스,ဘောနပ်စ်,โบนัส,Tiền thưởng,Bonus,Prime,Bonasi
ai.condition_type,Condition Type,條件類型,条件类型,Jenis Keadaan,Tipo de condição,条件タイプ,Tipo de condición,نوع الشرط,অবস্থার ধরণ,शर्त प्रकार,Jenis Kondisi,조건 유형,အခြေအနေအမျိုးအစား,ประเภทเงื่อนไข,Loại điều kiện,Uri ng Kondisyon,Type de condition,Aina ya Hali
ai.daily_loss_limit,Daily loss limit cannot be lower than wallet balance,每日虧損不可小於餘額,每日亏损不可小于余额,Had kerugian harian tidak boleh lebih rendah daripada baki dompet,O limite de perda diária não pode ser inferior ao saldo da carteira.,1日の損失上限はウォレット残高を下回ることはできません,El límite de pérdidas diarias no puede ser inferior al saldo de la cartera.,لا يمكن أن يكون حد الخسارة اليومي أقل من رصيد المحفظة,দৈনিক ক্ষতির সীমা ওয়ালেট ব্যালেন্সের চেয়ে কম হতে পারবে না।,दैनिक हानि सीमा वॉलेट बैलेंस से कम नहीं हो सकती,Batas kerugian harian tidak boleh lebih rendah dari saldo dompet.,일일 손실 한도는 지갑 잔액보다 낮게 설정할 수 없습니다,နေ့စဉ်ဆုံးရှုံးမှုကန့်သတ်ချက်သည် ပိုက်ဆံအိတ်လက်ကျန်ထက် မနည်းနိုင်ပါ။,ขีดจำกัดการขาดทุนรายวันต้องไม่ต่ำกว่ายอดเงินในกระเป๋า,Giới hạn thua hàng ngày không được thấp hơn số dư ví,Hindi maaaring mas mababa sa balanse ng wallet ang limitasyon sa pang-araw-araw na pagkalugi,La limite de perte quotidienne ne peut être inférieure au solde du portefeuille.,Kikomo cha hasara cha kila siku hakiwezi kuwa chini kuliko salio la pochi
ai.enter_amount,Please enter an amount,請輸入金額,请输入金额,Sila masukkan jumlah,"Por favor, insira um valor",金額を入力してください,"Por favor, introduzca una cantidad.",يرجى إدخال مبلغ,অনুগ্রহ করে একটি পরিমাণ লিখুন।,कृपया एक राशि दर्ज करें,Silakan masukkan jumlah,금액을 입력해 주세요,ကျေးဇူးပြု၍ ပမာဏတစ်ခုထည့်ပါ။,กรุณาใส่จำนวนเงิน,Vui lòng nhập số tiền,Mangyaring maglagay ng halaga,Veuillez saisir un montant,Tafadhali weka kiasi
ai.greater_than,Greater than,大於,大于,Lebih besar daripada,Maior que,より大きい,Más que,أكبر من,এর চেয়ে বড়,से बड़ा,Lebih besar dari,이상,ထက်ကြီးတယ်။,มากกว่า,Lớn hơn,Mas malaki kaysa sa,Supérieur à,Kubwa kuliko
ai.hash_baccarat,Baccarat,百家樂,百家乐,Bakarat,Bacará,バカラ,Bacará,الباكارات,ব্যাকারাট,बकारेट,Baccarat,바카라,ဘားကရပ်,บาคาร่า,Baccarat,Baccarat,Baccarat,Baccarat
ai.jackpot,Jackpot,彩金,彩金,Jackpot,Prêmio principal,ジャックポット,Bote,الجاكبوت,জ্যাকপট,जैकपॉट,Jackpot,잭팟,အမြင့်ဆုံးဆု,แจ็คพอต,Jackpot,Jackpot,Cagnotte,Jackpot
ai.leave_tip1,You can leave this page,您可以離開此頁面,您可以离开此页面,Anda boleh meninggalkan halaman ini,Você pode sair desta página.,このページを離れることができます,Puedes abandonar esta página.,يمكنك مغادرة هذه الصفحة,আপনি এই পৃষ্ঠাটি ছেড়ে যেতে পারেন,आप इस पेज को छोड़ सकते हैं,Anda dapat meninggalkan halaman ini.,이 페이지를 나가셔도 됩니다,ဤစာမျက်နှာကို ထွက်နိုင်ပါသည်,คุณสามารถออกจากหน้านี้ได้,Bạn có thể rời khỏi trang này.,Maaari kang umalis sa pahinang ito,Vous pouvez quitter cette page,Unaweza kuondoka kwenye ukurasa huu
ai.leave_tip2,AI bot will keep monitoring bets.,我們的AI將繼續監控投注情況。,我们的AI将继续监控投注情况。,Bot AI akan terus memantau pertaruhan.,O robô de IA continuará monitorando as apostas.,AIボットが賭けを監視し続けます。,El bot de IA seguirá supervisando las apuestas.,سيستمر برنامج الذكاء الاصطناعي في مراقبة الرهانات.,এআই বট বাজিগুলো পর্যবেক্ষণ করতে থাকবে।,एआई बॉट दांवों पर नजर रखना जारी रखेगा।,Bot AI akan terus memantau taruhan.,저희 AI가 베팅 상황을 계속 모니터링합니다.,AI ဘော့သည် လောင်းကြေးများကို ဆက်လက်စောင့်ကြည့်မည်ဖြစ်သည်,บอท AI จะคอยตรวจสอบการเดิมพันอย่างต่อเนื่อง,Robot AI sẽ tiếp tục theo dõi các cược.,Patuloy na susubaybayan ng AI bot ang mga taya.,Le robot d'intelligence artificielle continuera de surveiller les paris.,Roboti ya AI itaendelea kufuatilia dau.
ai.less_than,Less than,小於,小于,Kurang daripada,Menor que,より小さい,Menos que,أقل من,এর চেয়ে কম,से कम,Kurang dari,이하,ထက်နည်းသော,น้อยกว่า,Nhỏ hơn,Mas mababa sa,Moins que,Chini ya
ai.longdragon,Dragon,長龍,长龙,Naga,Dragão,ドラゴン,Dragón,تنين,ড্রাগন,ड्रैगन,Naga,드래곤,နဂါး,มังกร,Rồng,Dragon,Dragon,Joka
ai.multiplier,Multiplier,倍,倍,Pengganda,Multiplicador,倍数,Multiplicador,المضاعف,গুণক,गुणक,Pengali,승수,မြှောက်ပါ,ตัวคูณ,Hệ số nhân,Multiplier,Multiplicateur,Kizidishi
ai.no_zero_input,0 is not allowed,不可輸入0,不可输入0,0 tidak dibenarkan,0 não é permitido,0は入力できません,No se permite el 0.,الصفر غير مسموح به,০ অনুমোদিত নয়,0 की अनुमति नहीं है,Angka 0 tidak diperbolehkan,0은 입력할 수 없습니다,{ 0 }၀င်ခွင့်မပြုပါ။,ไม่อนุญาตให้ใช้ 0,Không được phép là 0,Hindi pinapayagan ang 0,0 n'est pas autorisé,0 hairuhusiwi
ai.not_settled,Not Settled,未派彩,未派彩,Tidak Selesai,Não resolvido,未確定,No resuelto,غير مسوى,নিষ্পত্তি হয়নি,निपटान नहीं हुआ,Belum Selesai,미정산,အခြေချခြင်းမရှိ,ยังไม่ตัดสิน,Chưa được xử lý,Hindi Naayos,Non réglé,Haijatulia
ai.player,Player,閒,闲,Pemain,Jogador,プレイヤー,Jugador,اللاعب,খেলোয়াড়,खिलाड़ी,Pemain,플레이어,ကစားသူ,ผู้เล่น,Người chơi,Manlalaro,Joueur,Mchezaji
ai.player_pair,Player Pair,閒對,闲对,Pasangan Pemain,Dupla de jogadores,プレイヤーペア,Pareja de jugadores,زوج اللاعب,খেলোয়াড় জুটি,खिलाड़ी जोड़ी,Pasangan Pemain,플레이어 페어,ကစားသမားအတွဲ,คู่ผู้เล่น,Đôi người chơi,Pares ng Manlalaro,Paire de joueurs,Jozi ya Mchezaji
ai.product,Product Type,產品,产品,Jenis Produk,Tipo de produto,ゲームタイプ,Tipo de producto,نوع المنتج,পণ্যের ধরণ,उत्पाद प्रकार,Jenis Produk,상품 유형,ထုတ်ကုန်,ประเภทผลิตภัณฑ์,Loại sản phẩm,Uri ng Produkto,Type de produit,Aina ya Bidhaa
ai.product_type,Product Type,產品類型,产品类型,Jenis Produk,Tipo de produto,製品タイプ,Tipo de producto,نوع المنتج,পণ্যের ধরণ,उत्पाद प्रकार,Jenis Produk,상품 유형,ထုတ်ကုန်အမျိုးအစား,ประเภทผลิตภัณฑ์,Loại sản phẩm,Uri ng Produkto,Type de produit,Aina ya Bidhaa
ai.round,Round,局,局,Bulat,Redondo,ラウンド,Redondo,الجولة,গোল,राउंड,Bulat,라운드,ဝိုင်း,รอบ,Vòng,Bilog,Rond,Mzunguko
ai.round_count,Round Count,局數,局数,Kiraan Pusingan,Contagem de rodadas,ラウンド数,Recuento de rondas,عدد الجولات,রাউন্ড সংখ্যা,राउंड काउंट,Jumlah Putaran,라운드 수,ပွဲအရေအတွက်,จำนวนรอบ,Số vòng,Bilang ng Bilog,Nombre de tours,Hesabu ya Mzunguko
ai.rtp,RTP,RTP,RTP,RTP,RTP,RTP,RTP,نسبة العائد إلى اللاعب (RTP),আরটিপি,RTP,RTP,RTP,RTP,RTP,RTP,RTP,RTP,RTP
ai.save_settings,Save Settings,儲存設定,保存设置,Simpan Tetapan,Salvar configurações,設定を保存,Guardar configuración,حفظ الإعدادات,সেটিংস সংরক্ষণ করুন,सेटिंग्स सहेजें,Simpan Pengaturan,설정 저장,ဆက်တင်များကို သိမ်းဆည်းပါ။,บันทึกการตั้งค่า,Lưu cài đặt,I-save ang Mga Setting,Enregistrer les paramètres,Hifadhi Mipangilio
ai.singlejump,Single Jump,單跳,单跳,Lompatan Tunggal,Salto único,シングルジャンプ,Salto simple,قفزة واحدة,একক লাফ,सिंगल जंप,Lompatan Tunggal,싱글 점프,တစ်ခုတည်းခုန်,กระโดดครั้งเดียว,Nhảy đơn,Isang Talon,Saut simple,Rukia Moja
ai.start_betting,Bet Now,開始投注,开始投注,Bertaruh Sekarang,Aposte agora,ベット開始,Apuesta ahora,راهن الآن,এখনই বাজি ধরুন,अब दांव लगाएं,Pasang Taruhan Sekarang,지금 베팅하기,ယခုလောင်းပါ,เดิมพันตอนนี้,Đặt cược ngay,Tumaya Ngayon,Pariez maintenant,Weka Dau Sasa
ai.stop_betting,Stop Betting,停止下注,停止下注,Berhenti Bertaruh,Pare de apostar,ベット停止,Deja de apostar,إيقاف الرهان,বাজি ধরা বন্ধ করুন,दांव लगाना रोकें,Berhenti Bertaruh,베팅 중지,လောင်းကစားရပ်ပါ။,หยุดการเดิมพัน,Dừng cược,Itigil ang Pagtaya,Arrêtez de parier,Acha Kuweka Dau
ai.stop_loss,Loss Limit Stop,本次虧損停止,本次亏损停止,Hentian Had Kerugian,Limite de Perda Stop,今回の損失リミットストップ,Stop de límite de pérdidas,وقف حد الخسارة,ক্ষতির সীমা থামান,हानि सीमा रोकें,Batas Kerugian Berhenti,손실 한도 정지,အရှုံးကန့်သတ်ချက်ရပ်တန့်,หยุดขีดจำกัดการขาดทุน,Giới hạn thua dừng lại,Paghinto sa Limitasyon ng Pagkawala,Stop limite de perte,Kikomo cha Kupoteza Kikomo
ai.take_profit,Profit Limit Stop,本次獲利停止,本次获利停止,Hentian Had Keuntungan,Limite de lucro Stop,今回の利益リミットストップ,Stop de límite de ganancias,وقف حد الربح,লাভের সীমা বন্ধ করুন,लाभ सीमा रोकें,Batas Keuntungan Berhenti,수익 한도 정지,အမြတ်အစွန်းကန့်သတ်ချက်ရပ်တန့်,หยุดขีดจำกัดกำไร,Giới hạn lợi nhuận dừng lại,Paghinto sa Limitasyon ng Kita,Stop limite de profit,Kikomo cha Faida Kinachosimamishwa
ai.tie,Tie,和,和,Tali leher,Gravata,タイ,Atar,تعادل,টাই,टाई,Mengikat,타이,သရေ,เสมอ,Hòa,Tali,Cravate,Tai
ai.times,Count,次,次,Kiraan,Contar,回数,Contar,العدد,গণনা,गिनती,Menghitung,회,ရေတွက်ပါ။,นับ,Đếm,Bilangin,Compter,Hesabu
ai.wait_add_game_name,Translation for Upcoming Game Name,待新增的遊戲名稱翻譯,待新增的游戏名称翻译,Terjemahan untuk Nama Permainan Akan Datang,Tradução para o nome do jogo que está por vir,追加予定ゲーム名の翻訳,Traducción del nombre del próximo juego,ترجمة اسم اللعبة القادمة,আসন্ন গেমের নামের অনুবাদ,आगामी खेल के नाम का अनुवाद,Terjemahan untuk Nama Game yang Akan Datang,추가 예정인 게임 이름 번역,လာမည့်ဂိမ်းအမည်အတွက် ဘာသာပြန်ချက်,การแปลชื่อเกมที่กำลังจะมาถึง,Dịch tên trò chơi sắp tới,Pagsasalin para sa Pangalan ng Paparating na Laro,Traduction du nom du prochain jeu,Tafsiri ya Jina la Mchezo Ujao
ai.wallet_balance,Wallet Balance,錢包餘額,钱包余额,Baki Dompet,Saldo da carteira,ウォレット残高,Saldo de la billetera,رصيد المحفظة,ওয়ালেট ব্যালেন্স,वॉलेट बैलेंस,Saldo Dompet,지갑 잔액,ပိုက်ဆံအိတ် လက်ကျန်,ยอดเงินในกระเป๋า,Số dư ví,Balanse ng Wallet,Solde du portefeuille,Salio la Pochi
announce_all_time,All,全部,全部,Sepanjang Masa,Todos os tempos,歴代,Todos los tiempos,على مر العصور,সর্বকালের,पूरे समय,Semua,역대 최고,အချိန်အားလုံး,ตลอดกาล,Mọi thời đại,Lahat ng Panahon,Tout le temps,Wakati Wote
announce_date_range,Date Range,公告時間 ,日期范围,Julat Tarikh,Intervalo de datas,日付範囲,Rango de fechas,نطاق التاريخ,তারিখের পরিসর,दिनांक सीमा,Rentang Tanggal,날짜 범위,ရက်စွဲအပိုင်းအခြား,ช่วงวันที่,Khoảng thời gian,Saklaw ng Petsa,Période couverte,Kipindi cha Tarehe
announce_keyword,Keyword,關鍵字,关键词,Kata kunci,Palavra-chave,キーワード,Palabra clave,الكلمة المفتاحية,কীওয়ার্ড,कीवर्ड,Kata kunci,예어,သော့ချက်စာလုံး,คำหลัก,Từ khóa,Keyword,Mot-clé,Neno muhimu
announce_quick_select,Quick Select,時間快選,快速选择,Pilih Pantas,Seleção rápida,クイック選択,Selección rápida,تحديد سريع,দ্রুত নির্বাচন,त्वरित चयन,Pilih Cepat,빠른 선택,အမြန်ရွေးချယ်ခြင်း,เลือกอย่างรวดเร็ว,Chọn nhanh,Mabilis na Pagpili,Sélection rapide,Chagua Haraka
announce_three_months,3 Months,3個月,3个月,3 Bulan,3 meses,3ヶ月,3 meses,3 أشهر,৩ মাস,3 महीने,3 Bulan,3개월,၃ လ,3 เดือน,3 tháng,3 Buwan,3 mois,Miezi 3
announce_type,Type,公告類型,类型,Jenis,Tipo,タイプ,Tipo,يكتب,প্রকার,प्रकार,Jenis,유형,အမျိုးအစား,พิมพ์,Kiểu,Uri,Taper,Aina
